,loan product,status,amount,credit score,rent,monthly income,other income,debts,has debts,pays rent,has credit,dti
127,1,0,2000.0,700,1867.0,2618.0,0.0,587.0,1,1,1,22.42
128,4,0,18000.0,700,500.0,2720.0,0.0,1202.0,1,1,1,44.19
129,2,0,1000.0,600,0.0,1956.5,0.0,140.45,1,0,1,7.18
130,4,0,14000.0,700,0.0,5538.0,0.0,2959.88,1,0,1,53.45
131,1,0,15000.0,800,0.0,2993.0,393.0,105.0,1,0,1,3.1
132,1,0,5000.0,700,550.0,1161.333,0.0,0.0,0,1,1,0.0
133,2,0,1000.0,0,1200.0,7000.0,0.0,549.0,1,1,0,7.84
134,1,0,2000.0,600,530.0,2350.0,0.0,133.0,1,1,1,5.66
135,2,0,1800.0,500,0.0,2775.0,0.0,652.0,1,0,1,23.5
136,3,0,19000.0,600,1050.0,5200.0,0.0,148.0,1,1,1,2.85
137,1,0,3871.92,500,450.0,2552.0,0.0,608.0,1,1,1,23.82
138,1,0,2755.0,600,850.0,4000.0,0.0,25.0,1,1,1,0.62
139,3,0,30000.0,700,300.0,1888.0,0.0,119.0,1,1,1,6.3
140,4,0,10000.0,600,100.0,5333.333,1000.0,0.0,0,1,1,0.0
141,3,0,10000.0,500,1100.0,3000.0,0.0,379.0,1,1,1,12.63
142,1,0,7000.0,600,1000.0,1800.0,0.0,366.9,1,1,1,20.38
143,1,0,500.0,0,480.0,1160.0,1160.0,0.0,0,1,0,0.0
144,1,0,5000.0,0,1100.0,2166.667,0.0,0.0,0,1,0,0.0
145,1,0,3000.0,600,500.0,1733.333,0.0,219.0,1,1,1,12.63
146,1,0,5000.0,600,950.0,6933.333,0.0,1079.0,1,1,1,15.56
147,4,0,3500.0,500,550.0,3000.0,0.0,74.0,1,1,1,2.47
148,1,0,10000.0,500,0.0,3200.0,0.0,1560.0,1,0,1,48.75
149,1,0,1500.0,600,500.0,1000.0,0.0,0.0,0,1,1,0.0
150,1,0,4000.0,700,1050.0,2500.0,0.0,1612.52,1,1,1,64.5
151,1,0,2000.0,500,850.0,1180.0,0.0,0.0,0,1,1,0.0
152,1,0,6000.0,600,0.0,4281.333,0.0,120.0,1,0,1,2.8
153,3,0,29342.06,600,0.0,4000.0,0.0,1864.66,1,0,1,46.62
154,1,0,3500.0,0,50.0,4333.333,0.0,0.0,0,1,0,0.0
155,3,0,20000.0,600,400.0,8000.0,0.0,65.0,1,1,1,0.81
156,1,0,1200.0,600,415.0,1800.0,0.0,625.0,1,1,1,34.72
157,3,0,2500.0,0,1165.0,2080.0,0.0,0.0,0,1,0,0.0
158,3,0,11000.0,0,1600.0,3900.0,0.0,0.0,0,1,0,0.0
159,1,0,3000.0,600,1365.0,3100.0,0.0,0.0,0,1,1,0.0
160,1,0,10000.0,600,700.0,2650.0,0.0,404.0,1,1,1,15.25
161,1,0,3000.0,0,0.0,1200.0,0.0,0.0,0,0,0,0.0
162,1,0,1400.0,0,850.0,1906.667,0.0,0.0,0,1,0,0.0
163,3,0,14000.0,600,1100.0,15634.667,0.0,0.0,0,1,1,0.0
164,3,0,6000.0,600,400.0,2275.0,0.0,0.0,0,1,1,0.0
165,1,0,1200.0,600,350.0,1712.0,0.0,119.0,1,1,1,6.95
166,4,0,8000.0,600,700.0,4550.0,0.0,470.0,1,1,1,10.33
167,1,0,27000.0,0,1250.0,4990.0,0.0,0.0,0,1,0,0.0
168,1,0,500.0,600,365.0,1205.0,1205.0,0.0,0,1,1,0.0
169,4,0,30000.0,500,1400.0,1600.0,0.0,0.0,0,1,1,0.0
170,1,0,5000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
171,1,0,500.0,500,400.0,2240.0,0.0,1870.0,1,1,1,83.48
172,4,0,193885.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
173,1,0,8000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
174,1,0,15000.0,600,704.0,3588.0,0.0,958.0,1,1,1,26.7
175,3,0,8000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
176,1,0,4500.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
177,1,0,5000.0,0,300.0,1352.0,0.0,0.0,0,1,0,0.0
178,3,0,8000.0,500,0.0,0.0,0.0,40.0,1,0,1,100.0
179,4,0,18900.0,700,0.0,2946.75,0.0,3962.0,1,0,1,134.45
180,1,0,500.0,0,350.0,1600.0,0.0,0.0,0,1,0,0.0
181,3,0,40000.0,700,905.0,2773.333,0.0,15.0,1,1,1,0.54
182,1,0,3500.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
183,1,0,20000.0,700,700.0,4000.0,0.0,474.0,1,1,1,11.85
184,1,0,3000.0,0,300.0,2600.0,0.0,0.0,0,1,0,0.0
185,4,0,6000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
186,2,0,500.0,0,200.0,0.0,0.0,0.0,0,1,0,100.0
187,1,0,3000.0,600,0.0,5461.0,1790.0,1283.0,1,0,1,17.69
188,1,0,25000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
189,1,0,2000.0,500,924.0,3900.0,0.0,173.0,1,1,1,4.44
190,2,0,2000.0,600,850.0,4056.0,0.0,3692.18,1,1,1,91.03
191,3,0,5000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
192,3,0,2000.0,0,300.0,2300.0,0.0,0.0,0,1,0,0.0
193,1,0,500.0,0,0.0,2250.0,0.0,0.0,0,0,0,0.0
